"HIS  라데온 RX 460 Slim iCooler OC D5 2GB,HIS,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,,O,,,,,,,168 mm,17 mm,최대 75W,137940,http://timg.danawa.com/prod_img/500000/684/823/img/4823684_1.jpg"
"XFX  라데온 RX 460 블랙울프 OC D5 2GB,XFX,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,,,,,,,,히트파이프+쿨러,238 mm,40 mm,,141470,http://timg.danawa.com/prod_img/500000/734/343/img/4343734_1.jpg"
"GIGABYTE  라데온 R5 230 UD2 D3 1GB 미니미,GIGABYTE,AMD(ATi),라데온 R5 2xx,PCIe2.0x16,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,167 mm,15 mm,,47170,http://timg.danawa.com/prod_img/500000/258/241/img/3241258_1.jpg"
"GIGABYTE  라데온 R7 360 UD2 OC D5 2GB 미니미,GIGABYTE,AMD(ATi),라데온 R7 3xx,PCIe3.0x16,GDDR5(DDR5),2GB,128-bit,1개,1개,O,,O,,,,,,방열판+쿨러,146 mm,35 mm,,140000,http://timg.danawa.com/prod_img/500000/663/247/img/3247663_1.jpg"
"Colorful  지포스 GT710 REVENGE D3 1GB LP,Colorful,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,145 mm,19 mm,최대 19W,44490,http://timg.danawa.com/prod_img/500000/788/113/img/4113788_1.jpg"
"이엠텍 HV 지포스 G210 버디 HDMI D3 512MB LP,이엠텍,NVIDIA,지포스 G2xx,PCIe2.0x16,GDDR3(DDR3),512MB,32-bit,1개,,,O,,,,,,,방열판+쿨러,,,최대 30.5W,35600,http://timg.danawa.com/prod_img/500000/713/231/img/1231713_1.jpg"
"GIGABYTE  지포스 GTX1080 AORUS Xtreme D5X 8GB,GIGABYTE,NVIDIA,지포스 GTX10xx,PCIe3.0x16,GDDR5X(DDR5X),8GB,256-bit,1개,3개,O,O,O,O,O,,,,히트파이프+쿨러,293 mm,55 mm,,954220,http://timg.danawa.com/prod_img/500000/629/933/img/4933629_1.jpg"
"PowerColor  라데온 RX 460 D5 2GB 레드드래곤,PowerColor,AMD(ATi),라데온 RX 4xx,PCIe3.0x8,GDDR5(DDR5),2GB,128-bit,1개,1개,,,O,,O,,,,,225 mm,38 mm,,123890,http://timg.danawa.com/prod_img/500000/920/333/img/4333920_1.jpg"
"리드텍  쿼드로 P1000 MDP to DP D5 4GB ABKO,리드텍,NVIDIA,쿼드로 시리즈,PCIe3.0x16,GDDR5(DDR5),4GB,128-bit,,4개(mini),,,,,,,,,,,,최대 47W,541890,http://timg.danawa.com/prod_img/500000/377/041/img/5041377_1.jpg"
"GIGABYTE  지포스 GTX980 3Way-SLI 워터포스,GIGABYTE,NVIDIA,지포스 GTX9xx,PCIe3.0x16,GDDR5(DDR5),4GB,256-bit,개별 1개, 전체 3개,개별 3개, 전체 9개,O,O,O,,O,,,,수냉쿨러,,,최대 220W,4072050,http://timg.danawa.com/prod_img/500000/910/980/img/2980910_1.jpg"
"GIGABYTE  지포스 GT710 UD2 D3 2GB 미니미,GIGABYTE,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),2GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,144 mm,13 mm,최대 19W,53320,http://timg.danawa.com/prod_img/500000/491/733/img/3733491_1.jpg"
"MSI  2WAY SLI HB Bridge M,MSI,NVIDIA,,,,,,,,,,,,,,,,,,,,46100,http://timg.danawa.com/prod_img/500000/576/450/img/4450576_1.jpg"
"갤럭시 GALAX 지포스 GTX750 Ti EXOC D5 1GB,갤럭시,NVIDIA,지포스 GTX7xx,PCIe3.0x16,GDDR5(DDR5),1GB,128-bit,1개,1개,,O,O,,,,,,방열판+쿨러,236 mm,34 mm,,126510,http://timg.danawa.com/prod_img/500000/434/701/img/3701434_1.jpg"
"SAPPHIRE  라데온 Pro Duo HBM 8GB,SAPPHIRE,AMD(ATi),라데온 R9 Fury,PCIe3.0x16,HBM(1세대),8GB(4GB x2),8192-bit(4096-bit x2),1개,3개,O,O,O,O,,,,,수냉 쿨링,267 mm,38/ mm,최대 350W,2101430,http://timg.danawa.com/prod_img/500000/652/003/img/4003652_1.jpg"
"MSI  지포스 GT730 OC D5 1GB LP 화이트 웨이코스,MSI,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR5(DDR5),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,145 mm,20 mm,최대 30W,66470,http://timg.danawa.com/prod_img/500000/711/468/img/3468711_1.jpg"
"이엠텍 HV 지포스 GT710 LowProfile Edition D3 1GB,이엠텍,NVIDIA,지포스 GT7xx,PCIe2.0x8,SDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,145 mm,18 mm,최대 19W,43420,http://timg.danawa.com/prod_img/500000/923/751/img/3751923_1.jpg"
"MSI  라데온 R7 370 OC 블랙 아머 2X D5 2GB 웨이코스,MSI,AMD(ATi),라데온 R9 3xx,PCIe3.0x16,GDDR5(DDR5),2GB,256-bit,1개,1개,O,O,O,,,,,,히트파이프+쿨러,255 mm,35 mm,최대 110W,203000,http://timg.danawa.com/prod_img/500000/279/574/img/3574279_1.jpg"
"Colorful  지포스 GT730 REVENGE D3 1GB LP,Colorful,NVIDIA,지포스 GT7xx,PCIe2.0x8,GDDR3(DDR3),1GB,64-bit,1개,,,O,,,,,,,방열판+쿨러,145 mm,19 mm,최대 23W,62040,http://timg.danawa.com/prod_img/500000/813/113/img/4113813_1.jpg"
