"TeamGroup T-Force DDR4 16G PC4-24000 CL16 DARK Gray (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,3000MHz,1.35V,174210,http://timg.danawa.com/prod_img/500000/213/596/img/4596213_1.jpg"
"GeIL  DDR4 4G PC4-19200 CL16 EVO-X 화이트 RGB (4Gx1),GeIL,DDR4,PC용,1ea,포함,4GB,2400MHz,1.20V,53120,http://timg.danawa.com/prod_img/500000/784/988/img/4988784_1.jpg"
"G.SKILL  DDR4 8G PC4-17000 CL15 RIPJAWS V VB,G.SKILL,DDR4,PC용,1ea,포함,8GB,2133MHz,1.20V,83270,http://timg.danawa.com/prod_img/500000/026/561/img/4561026_1.jpg"
"G.SKILL  DDR4 16G PC4-28800 CL17 TRIDENT ZSW (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3600MHz,1.35V,295310,http://timg.danawa.com/prod_img/500000/262/593/img/4593262_1.jpg"
"TeamGroup  DDR4 8G PC4-19200 Elite,TeamGroup,DDR4,PC용,1ea,미포함,8GB,2400MHz,1.20V,69570,http://timg.danawa.com/prod_img/500000/698/007/img/3007698_1.jpg"
"G.SKILL  DDR4 16G PC4-32000 CL19 TRIDENT ZSW (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,4000MHz,1.35V,361790,http://timg.danawa.com/prod_img/500000/556/591/img/4591556_1.jpg"
"TeamGroup  DDR4 4G PC4-19200 Elite,TeamGroup,DDR4,PC용,1ea,미포함,4GB,2400MHz,1.20V,36700,http://timg.danawa.com/prod_img/500000/590/007/img/3007590_1.jpg"
"ESSENCORE KLEVV DDR3 16G PC3-17000 CL10 URBANE (8Gx2),ESSENCORE,DDR3,PC용,2ea,포함,16GB,2133MHz,1.60V,116580,http://timg.danawa.com/prod_img/500000/118/152/img/4152118_1.jpg"
"G.SKILL  DDR4 8G PC4-19200 CL15 RIPJAWS V VB,G.SKILL,DDR4,PC용,1ea,포함,8GB,2400MHz,1.20V,87430,http://timg.danawa.com/prod_img/500000/167/564/img/4564167_1.jpg"
"TeamGroup T-Force DDR4 16G PC4-24000 CL16 Night Hawk Red (8Gx2),TeamGroup,DDR4,PC용,2ea,포함,16GB,3000MHz,1.35V,185160,http://timg.danawa.com/prod_img/500000/753/720/img/4720753_1.jpg"
"CORSAIR  DDR4 16G PC4-25600 CL16 VENGEANCE LED 화이트 (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,3200MHz,1.35V,233730,http://timg.danawa.com/prod_img/500000/763/220/img/4220763_1.jpg"
"G.SKILL  DDR4 16G PC4-27700 CL16 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3466MHz,1.35V,325370,http://timg.danawa.com/prod_img/500000/099/905/img/4905099_1.jpg"
"G.SKILL  DDR4 16G PC4-28800 CL17 TRIDENT Z RGB (8Gx2),G.SKILL,DDR4,PC용,2ea,포함,16GB,3600MHz,1.35V,334600,http://timg.danawa.com/prod_img/500000/177/905/img/4905177_1.jpg"
"CORSAIR  DDR4 16GB PC4-25600 CL16 VENGEANCE RGB (8Gx2),CORSAIR,DDR4,PC용,2ea,포함,16GB,3200MHz,1.35V,256380,http://timg.danawa.com/prod_img/500000/011/151/img/5151011_1.jpg"
"GeIL  DDR4 4G PC4-19200 CL16 EVO-X RGB,GeIL,DDR4,PC용,1ea,포함,4GB,2400MHz,1.20V,50730,http://timg.danawa.com/prod_img/500000/865/540/img/4540865_1.jpg"
